classificacao_agrupada,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Doença meningocócica,Óbito por meningite,5944,82,196,313,5353,7.155017278476886,5.397646101550847,9.484555173151069,1.0440692780612321e-33,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Doença meningocócica,Internação/hospitalização,5944,272,6,5113,553,4.903057565682248,2.173135106684192,11.06234647742383,1.432240797538976e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Óbito por meningite,5944,68,430,327,5119,2.4755849512836923,1.8725917844596451,3.2727479111475044,4.448692836870737e-09,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Internação/hospitalização,5944,480,18,4905,541,2.941216445803602,1.8220465531821861,4.747822807247772,4.906476685697015e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite fúngica,Óbito por meningite,5944,29,143,366,5406,2.99541442164393,1.9820221074362558,4.526946255406994,2.347475308053062e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite fúngica,Internação/hospitalização,5944,170,2,5215,557,9.07861936720997,2.245950755187211,36.69774567599981,1.3355786762654907e-05,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Óbito por meningite,5944,108,1057,287,4492,1.5992141324305527,1.2691276405516019,2.0151525817009572,0.0001047030139968458,p=0.0001: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Internação/hospitalização,5944,1136,29,4249,530,4.886180115402407,3.3432168202759844,7.141252692723351,2.426955953106137e-24,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Óbito por meningite,5944,57,165,338,5384,5.502743410435718,3.9935785137707485,7.582218538256076,4.453708642928399e-20,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Internação/hospitalização,5944,219,3,5166,556,7.856755710414247,2.5060035180339586,24.632291953666122,8.906528441800803e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Óbito por meningite,5944,6,15,389,5534,5.690488431876607,2.195611259371481,14.748356957593257,0.0019090736156183777,p=0.0019: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Internação/hospitalização,5944,20,1,5365,558,2.0801491146318734,0.27863458458172313,15.529372800578018,0.7150994244263027,p=0.7151: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite tuberculosa,Óbito por meningite,5944,2,45,393,5504,0.6224484026010744,0.15044168857937734,2.5753633687526953,0.7682054905822773,p=0.7682: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite tuberculosa,Internação/hospitalização,5944,47,0,5338,559,9.956448440573194,0.6129024045367838,161.7400499916671,0.020020087995649916,p=0.0200: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite viral/asséptica,Óbito por meningite,5944,20,892,375,4657,0.27844544095665175,0.17657555608516232,0.4390860508016785,6.807469923171051e-11,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite viral/asséptica,Internação/hospitalização,5944,894,18,4491,541,5.983003043123284,3.7205418751103596,9.621266636855326,4.451714875117208e-22,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Outras etiologias,Óbito por meningite,5944,23,2606,372,2943,0.06982336048325205,0.045674881560339976,0.10673922958581779,1.0575616973276911e-69,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Outras etiologias,Internação/hospitalização,5944,2147,482,3238,77,0.10592510104336728,0.08277128626015139,0.13555578918735833,6.113410077379062e-104,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
